name,gem_id,mobility_region,COVID2104_region,COVID2104_small_region,veiligheidsregio,mobility_veiligheidsregio
Rucphen,840,10,2,80,Midden- en West-Brabant,18
Someren,847,8,10,21,Brabant-Zuidoost,16
Son en Breugel,848,8,10,23,Brabant-Zuidoost,16
Nederweert,946,8,10,51,Limburg-Noord,2
Borger-Odoorn,1681,0,11,48,Drenthe,6
Steenbergen,851,10,2,18,Midden- en West-Brabant,18
Waterland,852,2,3,9,Zaanstreek-Waterland,11
Tilburg,855,10,2,74,Midden- en West-Brabant,18
Uden,856,8,0,77,Brabant-Noord,24
Valkenswaard,858,8,10,19,Brabant-Zuidoost,16
Cuijk,1684,4,8,0,Brabant-Noord,24
Veldhoven,861,8,10,23,Brabant-Zuidoost,16
Vught,865,8,0,29,Brabant-Noord,24
Landerd,1685,8,0,77,Brabant-Noord,24
De Wolden,1690,3,11,78,Drenthe,6
Lansingerland,1621,6,1,68,Rotterdam-Rijnmond,21
Leudal,1640,1,10,76,Limburg-Noord,2
Noord-Beveland,1695,10,2,63,Zeeland,18
Wijdemeren,1696,2,3,66,Gooi en Vechtstreek,14
Noordenveld,1699,0,11,48,Drenthe,6
Twenterand,1700,5,6,44,Twente,8
Westerveld,1701,3,11,78,Drenthe,6
Waalre,866,8,10,23,Brabant-Zuidoost,16
Sint Anthonis,1702,4,8,0,Brabant-Noord,24
Waalwijk,867,10,2,65,Midden- en West-Brabant,18
Werkendam,870,6,5,26,Midden- en West-Brabant,18
Woensdrecht,873,10,2,18,Midden- en West-Brabant,18
Woudrichem,874,6,5,26,Midden- en West-Brabant,18
Zundert,879,10,2,80,Midden- en West-Brabant,18
Onderbanken,881,1,4,7,Limburg-Zuid,2
Wormerland,880,2,3,64,Zaanstreek-Waterland,11
Brunssum,899,1,4,7,Limburg-Zuid,2
Landgraaf,882,1,4,7,Limburg-Zuid,2
Beek,888,1,4,60,Limburg-Zuid,2
Mook en Middelaar,944,4,8,0,Limburg-Noord,2
Beesel,889,1,10,76,Limburg-Noord,2
Bergen (L.),893,4,8,0,Limburg-Noord,2
Gennep,907,4,8,0,Limburg-Noord,2
Heerlen,917,1,4,7,Limburg-Zuid,2
Kerkrade,928,1,4,7,Limburg-Zuid,2
Maastricht,935,1,4,72,Limburg-Zuid,2
Meerssen,938,1,4,72,Limburg-Zuid,2
Nuth,951,1,4,7,Limburg-Zuid,2
Roermond,957,1,10,76,Limburg-Noord,2
Schinnen,962,1,4,7,Limburg-Zuid,2
Simpelveld,965,1,4,7,Limburg-Zuid,2
Venray,984,1,10,4,Limburg-Noord,2
Teylingen,1525,11,1,43,Hollands-Midden,23
Heeze-Leende,1658,8,10,19,Brabant-Zuidoost,16
Laarbeek,1659,8,10,11,Brabant-Zuidoost,16
De Marne,1663,0,11,48,Groningen,6
Lingewaard,1705,4,8,55,Gelderland-Midden,12
Bernheze,1721,8,0,57,Brabant-Noord,24
Ferwerderadiel,1722,0,11,16,Fryslân,6
Alphen-Chaam,1723,10,2,69,Midden- en West-Brabant,18
Bergeijk,1724,8,10,50,Brabant-Zuidoost,16
Rijssen-Holten,1742,5,6,44,Twente,8
Westland,1783,11,1,47,Haaglanden,23
Midden-Delfland,1842,11,1,2,Haaglanden,23
Berkelland,1859,5,6,45,Noord- en Oost-Gelderland,12
Bronckhorst,1876,4,8,45,Noord- en Oost-Gelderland,12
Sittard-Geleen,1883,1,4,60,Limburg-Zuid,2
Kaag en Braassem,1884,11,1,61,Hollands-Midden,23
Dantumadiel,1891,0,11,16,Fryslân,6
Zuidplas,1892,6,5,36,Hollands-Midden,23
Peel en Maas,1894,1,10,33,Limburg-Noord,2
Oldambt,1895,0,11,48,Groningen,6
Zwartewaterland,1896,3,6,59,IJsselland,12
Súdwest-Fryslân,1900,0,11,16,Fryslân,6
Bodegraven-Reeuwijk,1901,11,1,36,Hollands-Midden,23
Hollands Kroon,1911,9,3,81,Noord-Holland-Noord,11
Leidschendam-Voorburg,1916,11,1,6,Haaglanden,23
Pijnacker-Nootdorp,1926,11,1,2,Haaglanden,23
Molenwaard,1927,6,5,1,Zuid-Holland-Zuid,21
Gooise Meren,1942,2,3,66,Gooi en Vechtstreek,14
Berg en Dal,1945,4,8,52,Gelderland-Zuid,24
Meierijstad,1948,8,0,46,Brabant-Noord,24
Waadhoeke,1949,0,11,16,Fryslân,6
Westerwolde,1950,0,11,48,Groningen,6
